Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,lat,lon,Class
Super 8 Aberdeen East,Aberdeen, SD ,57401,104,NA,NA,45.45982001,-98.45292561,Economy Class
Holiday Inn Express & Suites Aberdeen,Aberdeen, SD ,57401,68,8.2,86 reviews,45.45803276,-98.44223765,Upper Midscale Class
Super 8 Aberdeen West,Aberdeen, SD ,57401,39,NA,NA,45.45814776,-98.51720546,Economy Class
Quality Inn Aberdeen,Aberdeen, SD ,57401,61,7.3,121 reviews,45.46001086,-98.44680354,Midscale Class
AmericInn Lodge & Suites Aberdeen,Aberdeen, SD ,57401,88,8.2,145 reviews,45.46209285,-98.4383708,Midscale Class
Best Western Ramkota Hotel,Aberdeen, SD ,57401,154,7.4,703 reviews,45.47496677,-98.50906023,Midscale Class
White House Inn,Aberdeen, SD ,57401,96,NA,NA,45.45979743,-98.49586549,Economy Class
Innkeeper Motel,Aberdeen, SD ,57401,25,NA,NA,45.45958981,-98.47109066,Economy Class
Hampton Inn Aberdeen,Aberdeen, SD ,57401,84,NA,NA,45.45798152,-98.44289642,Upper Midscale Class
TownePlace Suites Aberdeen,Aberdeen, SD ,57401,56,NA,NA,45.46055655,-98.44541088,Upper Midscale Class
My Place Hotel Aberdeen,Aberdeen, SD ,57401,46,9.1,104 reviews,45.4604352,-98.45228129,Upper Midscale Class
Sutton Bay Resort,Agar, SD ,57520,26,NA,NA,44.89031528,-100.3544579,Luxury Class
Arlington Inn,Arlington, SD ,57212,21,NA,NA,44.35654395,-97.12965491,Economy Class
AmericInn Lodge & Suites Belle Fourche,Belle Fourche, SD ,57717,61,9.5,123 reviews,44.65144624,-103.8618512,Midscale Class
Kings Inn,Belle Fourche, SD ,57717,33,NA,NA,44.66206435,-103.8522284,Economy Class
Econo Lodge Belle Fourche,Belle Fourche, SD ,57717,50,NA,NA,44.65746597,-103.8553369,Economy Class
Super 8 Belle Fourche,Belle Fourche, SD ,57717,31,5.5,122 reviews,44.66279687,-103.8537727,Economy Class
Crossroad's Motel,Beresford, SD ,57004,20,NA,NA,43.08325419,-96.79180848,Economy Class
Super 8 Beresford,Beresford, SD ,57004,38,6.8,69 reviews,43.08412381,-96.79127835,Economy Class
Residence Inn Rapid City,Box Elder, SD ,57719,144,NA,NA,44.09992919,-103.1477487,Upscale Class
Home2 Suites by Hilton Rapid City,Box Elder, SD ,57719,107,8.4,315 reviews,44.10061489,-103.1460446,Upper Midscale Class
Holiday Inn Express & Suites Sioux Falls Brandon,Brandon, SD ,57005,68,8.7,107 reviews,43.60738613,-96.57497522,Upper Midscale Class
Quality Inn Brandon,Brandon, SD ,57005,48,7.6,106 reviews,43.60734305,-96.57311873,Midscale Class
Sunset Motel,Britton, SD ,57430,20,NA,NA,45.7916037,-97.7586236,Economy Class
My Place Hotel Brookings,Brookings, SD ,57006,62,8.8,77 reviews,44.3131675,-96.7524719,Upper Midscale Class
Econo Lodge Inn & Suites Brookings,Brookings, SD ,57006,101,7.5,165 reviews,44.31211574,-96.76197833,Economy Class
Quality Inn Brookings,Brookings, SD ,57006,50,7.8,102 reviews,44.31023485,-96.76395244,Midscale Class
Super 8 Brookings,Brookings, SD ,57006,65,8.6,243 reviews,44.31026556,-96.75415701,Economy Class
Comfort Suites University Brookings,Brookings, SD ,57006,100,9,183 reviews,44.31625371,-96.76342457,Upper Midscale Class
