Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,image,lat,lon,Class
Super 8 Aberdeen East,Aberdeen, SD ,57401,104,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.45982001,-98.45292561,Economy Class
Holiday Inn Express & Suites Aberdeen,Aberdeen, SD ,57401,68,8.2,86 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.45803276,-98.44223765,Upper Midscale Class
Quality Inn Aberdeen,Aberdeen, SD ,57401,61,7.3,121 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/169743050.jpg?k=6d5cf231529fecb27f2455479ccdc1a029dbecfe0c4956f04131f58aaf8b5621&o=,45.46001086,-98.44680354,Midscale Class
AmericInn Lodge & Suites Aberdeen,Aberdeen, SD ,57401,88,8.2,145 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.46209285,-98.4383708,Midscale Class
Best Western Ramkota Hotel,Aberdeen, SD ,57401,154,7.4,703 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/110927611.jpg?k=ad38db4ab33f9a445aec9852cb19f9e86001d57d47070f6e5e75f188f156da72&o=,45.47496677,-98.50906023,Midscale Class
White House Inn,Aberdeen, SD ,57401,96,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.45979743,-98.49586549,Economy Class
Hampton Inn Aberdeen,Aberdeen, SD ,57401,84,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.45798152,-98.44289642,Upper Midscale Class
TownePlace Suites Aberdeen,Aberdeen, SD ,57401,56,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.46055655,-98.44541088,Upper Midscale Class
My Place Hotel Aberdeen,Aberdeen, SD ,57401,46,9.1,104 reviews,,45.4604352,-98.45228129,Upper Midscale Class
Sutton Bay Resort,Agar, SD ,57520,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.89031528,-100.3544579,Luxury Class
Arlington Inn,Arlington, SD ,57212,21,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35654395,-97.12965491,Economy Class
AmericInn Lodge & Suites Belle Fourche,Belle Fourche, SD ,57717,61,9.5,123 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.65144624,-103.8618512,Midscale Class
Kings Inn,Belle Fourche, SD ,57717,33,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.66206435,-103.8522284,Economy Class
Econo Lodge Belle Fourche,Belle Fourche, SD ,57717,50,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.65746597,-103.8553369,Economy Class
